掩码,特征码,固定位掩码,固定位码,操作码位掩码,操作数位掩码,指令名
11111011111000001000010000000000,11110000000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,AND(immediate),
11111011111000001000001000000000,11110000000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,AND(immediate),
11111011111000001000000100000000,11110000000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,AND(immediate),
11111011111000001000000010000000,11110000000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,AND(immediate),
11111011111000001000011110000000,11110000000000000000011110000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,TST(immediate),
11111011111000001000000000000000,11110000001000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,BIC(immediate),
11111011111010001000000000000000,11110000010000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORR(immediate),
11111011111001001000000000000000,11110000010000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORR(immediate),
11111011111000101000000000000000,11110000010000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORR(immediate),
11111011111000011000000000000000,11110000010000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORR(immediate),
11111011111011111000000000000000,11110000010011110000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,MOV(immediate),
11111011111010001000000000000000,11110000011000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORN(immediate),
11111011111001001000000000000000,11110000011000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORN(immediate),
11111011111000101000000000000000,11110000011000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORN(immediate),
11111011111000011000000000000000,11110000011000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ORN(immediate),
11111011111011111000000000000000,11110000011011110000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,MVN(immediate),
11111011111000001000010000000000,11110000100000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,EOR(immediate),
11111011111000001000001000000000,11110000100000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,EOR(immediate),
11111011111000001000000100000000,11110000100000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,EOR(immediate),
11111011111000001000000010000000,11110000100000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,EOR(immediate),
11111011111000001000011110000000,11110000100000000000011110000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,TEQ(immediate),
11111011111000001000011110000000,11110001000000000000011110000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,CMN(immediate),
11111011111000001000010000000000,11110001000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ADD(immediate),
11111011111000001000001000000000,11110001000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ADD(immediate),
11111011111000001000000100000000,11110001000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ADD(immediate),
11111011111000001000000010000000,11110001000000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ADD(immediate),
11111011111000001000000010000000,11110001010000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,ADC(immediate),
11111011111000001000000010000000,11110001011000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,SBC(immediate),
11111011111000001000011110000000,11110001101000000000011110000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,CMP(immediate),
11111011111000001000010000000000,11110001101000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,SUB(immediate),
11111011111000001000001000000000,11110001101000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,SUB(immediate),
11111011111000001000000100000000,11110001101000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,SUB(immediate),
11111011111000001000000010000000,11110001101000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,SUB(immediate),
11111011111000001000000000000000,11110001110000000000000000000000,11111010000000001000000000000000,11110000000000000000000000000000,00000001111111110000011110000000,00000100000000000111100001111111,RSB(immediate),
11111011111110001000000000000000,11110010000000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,ADD(immediate),
11111011111101001000000000000000,11110010000000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,ADD(immediate),
11111011111100101000000000000000,11110010000000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,ADD(immediate),
11111011111100011000000000000000,11110010000000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,ADD(immediate),
11111011111111111000000000000000,11110010000011110000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,ADR(immediate),
11111011111100001000000000000000,11110010010000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,MOV(immediate),
11111011111110001000000000000000,11110010101000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SUB(immediate),
11111011111101001000000000000000,11110010101000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SUB(immediate),
11111011111100101000000000000000,11110010101000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SUB(immediate),
11111011111100011000000000000000,11110010101000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SUB(immediate),
11111011111111111000000000000000,11110010101011110000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,ADR(immediate),
