掩码,特征码,固定位掩码,固定位码,操作码位掩码,操作数位掩码,指令名
11111011111100001000000000000000,11110010110000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,MOVT(immediate),
11111011111100001000000000000000,11110011000000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SSAT(immediate),
11111011111100001100000000000000,11110011001000000100000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SSAT(immediate),
11111011111100001010000000000000,11110011001000000010000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SSAT(immediate),
11111011111100001001000000000000,11110011001000000001000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SSAT(immediate),
11111011111100001000000010000000,11110011001000000000000010000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SSAT(immediate),
11111011111100001000000001000000,11110011001000000000000001000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SSAT(immediate),
11111011111100001111000011000000,11110011001000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SSAT16,
11111011111100001000000000000000,11110011010000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,SBFX,
11111011111110001000000000000000,11110011011000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,BFI,
11111011111101001000000000000000,11110011011000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,BFI,
11111011111100101000000000000000,11110011011000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,BFI,
11111011111100011000000000000000,11110011011000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,BFI,
11111011111111111000000000000000,11110011011011110000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,BFC,
11111011111100001000000000000000,11110011100000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT,
11111011111100001100000000000000,11110011101000000100000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT,
11111011111100001010000000000000,11110011101000000010000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT,
11111011111100001001000000000000,11110011101000000001000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT,
11111011111100001000000010000000,11110011101000000000000010000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT,
11111011111100001000000001000000,11110011101000000000000001000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT,
11111011111100001111000011000000,11110011101000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT16,
11111011111100001000000000000000,11110011110000000000000000000000,11111010000000001000000000000000,11110010000000000000000000000000,00000001111111110000000000000000,00000100000000000111111111111111,USAT16,
11111010000000001101000000000000,11110000000000001000000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,B,
11111001000000001101000000000000,11110000000000001000000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,B,
11111000100000001101000000000000,11110000000000001000000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,B,
11111111111000001101000000000000,11110011100000001000000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,MSR,
11111111111000001101000000000000,11110011111000001000000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,MRS,
11111111111100001111000000000000,11110111111100001010000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,UDF,
11111000000000001101000000000000,11110000000000001001000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,B,
11111000000000001101000000000000,11110000000000001101000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000000000000,00000000000011110000111111111111,BL,
11111111111100001101011111111111,11110011101000001000000000000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111011111111111,00000000000011110000100000000000,NOP,
11111111111100001101011111111111,11110011101000001000000000000001,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111011111111111,00000000000011110000100000000000,YIELD,
11111111111100001101011111111111,11110011101000001000000000000010,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111011111111111,00000000000011110000100000000000,WFE,
11111111111100001101011111111111,11110011101000001000000000000011,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111011111111111,00000000000011110000100000000000,WFI,
11111111111100001101011111111111,11110011101000001000000000000100,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111011111111111,00000000000011110000100000000000,SEV,
11111111111100001101011111111111,11110011101000001000000000010100,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111011111111111,00000000000011110000100000000000,CSDB,
11111111111100001101011111110000,11110011101000001000000011110000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111011111111111,00000000000011110000100000000000,DBG,
11111111111100001101000011110000,11110011101100001000000000100000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,CLREX,
11111111111100001101000011111000,11110011101100001000000001001000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,DSB,
11111111111100001101000011110010,11110011101100001000000001000010,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,DSB,
11111111111100001101000011110001,11110011101100001000000001000001,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,DSB,
11111111111100001101000011111111,11110011101100001000000001000000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,SSBB,
11111111111100001101000011111111,11110011101100001000000001000100,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,PSSBB,
11111111111100001101000011110000,11110011101100001000000001010000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,DMB,
11111111111100001101000011110000,11110011101100001000000001100000,11111000000000001000000000000000,11110000000000001000000000000000,00000111111100000111000011111111,00000000000011110000111100000000,ISB,
11111111110100000000000000000000,11101000100000000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,STM,
11111111111111110000000000000000,11101000101111110000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,LDM,
11111111110100110000000000000000,11101000100100000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,LDM,
11111111110101100000000000000000,11101000100100000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,LDM,
11111111110110100000000000000000,11101000100100000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,LDM,
11111111111100100000000000000000,11101000100100000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,LDM,
11111111111111110000000000000000,11101000101111010000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,POP,
11111111111111110000000000000000,11101001001011010000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,PUSH,
11111111110100000000000000000000,11101001000100000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,LDMDB,
11111111111111110000000000000000,11101001001011110000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,STMDB,
11111111110100110000000000000000,11101001000000000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,STMDB,
11111111110101100000000000000000,11101001000000000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,STMDB,
11111111110110100000000000000000,11101001000000000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,STMDB,
11111111111100100000000000000000,11101001000000000000000000000000,11111110010000000000000000000000,11101000000000000000000000000000,00000001101111110000000000000000,00000000000000001111111111111111,STMDB,
11111111111100000000000000000000,11101000010000000000000000000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,STREX,
11111111111100000000000000000000,11101000010100000000000000000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,LDREX,
11111111011100000000000000000000,11101000011000000000000000000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,STRD(immediate),
11111111010100000000000000000000,11101001010000000000000000000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,STRD(immediate),
11111111011100000000000000000000,11101000011100000000000000000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,LDRD(immediate),
11111111010100000000000000000000,11101001010100000000000000000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,LDRD(immediate),
11111111111100000000000011110000,11101000110000000000000001000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,STREXB,
11111111111100000000000011110000,11101000110000000000000001010000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,STREXH,
11111111111100000000000011110000,11101000110100000000000000000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,TBB,
11111111111100000000000011110000,11101000110100000000000000010000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,TBB,
11111111111100000000000011110000,11101000110100000000000001000000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,LDREXB,
11111111111100000000000011110000,11101000110100000000000001010000,11111110010000000000000000000000,11101000010000000000000000000000,00000001101111110000000011110000,00000000000000001111111100001111,LDREXH,
11111111111110000000000000000000,11111000110100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111101000000000000000000,11111000110100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111100100000000000000000,11111000110100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111100010000000000000000,11111000110100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111110000000100100000000,11111000010100000000100100000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111101000000100100000000,11111000010100000000100100000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111100100000100100000000,11111000010100000000100100000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111100010000100100000000,11111000010100000000100100000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111110000000111100000000,11111000010100000000110000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111101000000111100000000,11111000010100000000110000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111100100000111100000000,11111000010100000000110000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111100010000111100000000,11111000010100000000110000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(immediate),
11111111111110000000111100000000,11111000010100000000111000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDRT,
11111111111101000000111100000000,11111000010100000000111000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDRT,
11111111111100100000111100000000,11111000010100000000111000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDRT,
11111111111100010000111100000000,11111000010100000000111000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDRT,
11111111111110000000111111000000,11111000010100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(register),
11111111111101000000111111000000,11111000010100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(register),
11111111111100100000111111000000,11111000010100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(register),
11111111111100010000111111000000,11111000010100000000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(register),
11111111011111110000000000000000,11111000010111110000000000000000,11111110011100000000000000000000,11111000010100000000000000000000,00000001100011110000111111000000,00000000000000001111000000111111,LDR(literal),
11111111111100000000000000000000,11111000100000000000000000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STRB(immediate),
11111111111100000000100000000000,11111000000000000000100000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STRB(immediate),
11111111111100000000100000000000,11111000000000000000000000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STRB(register),
11111111111100000000000000000000,11111000101000000000000000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STRH(immediate),
11111111111100000000100000000000,11111000001000000000100000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STRH(immediate),
11111111111100000000100000000000,11111000001000000000000000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STRH(register),
11111111111100000000000000000000,11111000110000000000000000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STR(immediate),
11111111111100000000100000000000,11111000010000000000100000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STR(immediate),
11111111111100000000100000000000,11111000010000000000000000000000,11111111000100000000000000000000,11111000000000000000000000000000,00000000111000000000111111000000,00000000000011111111000000111111,STR(register),
11111111111000000000100000000000,11101010000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111000000000010000000000,11101010000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111000000000001000000000,11101010000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111000000000000100000000,11101010000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111100000000111100000000,11101010000000000000111100000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,UNPREDICTABLE,
11111111111100000000111100000000,11101010000100000000111100000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,TEST(register),
11111111111000000000000000000000,11101010001000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,BIC(register),
11111111111010000000000000000000,11101010010000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORR(register),
11111111111001000000000000000000,11101010010000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORR(register),
11111111111000100000000000000000,11101010010000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORR(register),
11111111111000010000000000000000,11101010010000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORR(register),
11111111111011110000000000000000,11101010010011110000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,Move register and immediate shifts,
11111111111010000000000000000000,11101010011000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORN(register),
11111111111001000000000000000000,11101010011000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORN(register),
11111111111000100000000000000000,11101010011000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORN(register),
11111111111000010000000000000000,11101010011000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ORN(register),
11111111111011110000000000000000,11101010011011110000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,MVN(register),
11111111111000000000100000000000,11101010100000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,EOR(register),
11111111111000000000010000000000,11101010100000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,EOR(register),
11111111111000000000001000000000,11101010100000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,EOR(register),
11111111111000000000000100000000,11101010100000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,EOR(register),
11111111111100000000111100000000,11101010100000000000111100000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,UNPREDICTABLE,
11111111111100000000111100000000,11101010100100000000111100000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,TEQ(register),
11111111111000000000000000000000,11101010110000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,PKHBT,
11111111111000000000100000000000,11101011000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111000000000010000000000,11101011000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111000000000001000000000,11101011000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111000000000000100000000,11101011000000000000000000000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,ADD(register),
11111111111100000000111100000000,11101011000000000000111100000000,11111110000000000000000000000000,11101010000000000000000000000000,00000001111111110000111100000000,00000000000000001111000011111111,UNPREDICTABLE,
