掩码,特征码,固定位掩码,固定位码,操作码位掩码,操作数位掩码,指令名
1111111100000000,1011101100000000,1111000000000000,1011000000000000,0000111111100000,0000000000011111,CBNZ, CBZ,
1111111000000000,1011110000000000,1111000000000000,1011000000000000,0000111111100000,0000000000011111,POP,
1111111100000000,1011111000000000,1111000000000000,1011000000000000,0000111111100000,0000000000011111,BKPT,
1111111100000000,1011111100000000,1111000000000000,1011000000000000,0000111111100000,0000000000011111,If-Then, and hints,
1111111100000001,1011111100000001,1111111100000000,1011111100000000,0000000011111111,0000000000000000,IT,
1111111100000010,1011111100000010,1111111100000000,1011111100000000,0000000011111111,0000000000000000,IT,
1111111100000100,1011111100000100,1111111100000000,1011111100000000,0000000011111111,0000000000000000,IT,
1111111100001000,1011111100001000,1111111100000000,1011111100000000,0000000011111111,0000000000000000,IT,
1111111111111111,1011111100000000,1111111100000000,1011111100000000,0000000011111111,0000000000000000,NOP,
1111111111111111,1011111100010000,1111111100000000,1011111100000000,0000000011111111,0000000000000000,YIELD,
1111111111111111,1011111100100000,1111111100000000,1011111100000000,0000000011111111,0000000000000000,WFE,
1111111111111111,1011111100110000,1111111100000000,1011111100000000,0000000011111111,0000000000000000,WFI,
1111111111111111,1011111101000000,1111111100000000,1011111100000000,0000000011111111,0000000000000000,SEV,
1111001000000000,1101000000000000,1111000000000000,1101000000000000,0000111100000000,0000000011111111,B,
1111010000000000,1101000000000000,1111000000000000,1101000000000000,0000111100000000,0000000011111111,B,
1111100000000000,1101000000000000,1111000000000000,1101000000000000,0000111100000000,0000000011111111,B,
1111111100000000,1101111000000000,1111000000000000,1101000000000000,0000111100000000,0000000011111111,UDF,
1111111100000000,1101111100000000,1111000000000000,1101000000000000,0000111100000000,0000000011111111,SVC,
